,base_market,quote_market,hedge_ratio,half_life
0,AAVE-USD,YFI-USD,0.013053321903402838,12.0
1,AAVE-USD,ALGO-USD,547.0156843739301,12.0
2,AAVE-USD,FIL-USD,17.651570381182214,11.0
3,AAVE-USD,DOT-USD,13.802338162167842,14.0
4,AAVE-USD,ADA-USD,190.9169526018706,8.0
5,AAVE-USD,ENJ-USD,331.8568801435599,7.0
6,AAVE-USD,ZRX-USD,306.57238677141913,10.0
7,AAVE-USD,AVAX-USD,2.8834936140958307,20.0
8,AAVE-USD,SNX-USD,28.5636604166489,8.0
9,AAVE-USD,ATOM-USD,10.057906109069078,18.0
10,ETC-USD,1INCH-USD,58.05436592020519,20.0
11,BCH-USD,MATIC-USD,301.3145456631315,21.0
12,BCH-USD,DOT-USD,34.20925024435236,24.0
13,BCH-USD,ADA-USD,473.303967372474,13.0
14,BCH-USD,SNX-USD,70.7931072666093,16.0
15,BCH-USD,XLM-USD,2113.4193816239735,15.0
16,XMR-USD,COMP-USD,2.8073821781914066,15.0
17,XMR-USD,TRX-USD,1418.9258464048883,13.0
18,YFI-USD,FIL-USD,1351.912063946651,19.0
19,YFI-USD,ZRX-USD,23485.37031406475,5.0
20,YFI-USD,SNX-USD,2187.301936237617,15.0
21,YFI-USD,ETH-USD,3.0955477540495235,20.0
22,YFI-USD,ATOM-USD,770.5178418922245,9.0
23,RUNE-USD,SNX-USD,1.2755683606168804,18.0
24,DOGE-USD,SUSHI-USD,0.07357639598737098,8.0
25,ALGO-USD,AVAX-USD,0.005270309671014406,5.0
26,ALGO-USD,ATOM-USD,0.018370498640030236,22.0
27,FIL-USD,NEAR-USD,1.782985327726943,20.0
28,FIL-USD,1INCH-USD,12.867811383407979,10.0
29,FIL-USD,ADA-USD,10.811147157916837,15.0
30,FIL-USD,ENJ-USD,18.793455492194575,10.0
31,FIL-USD,ZRX-USD,17.361855533789562,12.0
32,MATIC-USD,DOT-USD,0.113535660645939,9.0
33,MATIC-USD,ADA-USD,1.5701508609155825,13.0
34,MATIC-USD,ENJ-USD,2.729301722093532,10.0
35,MATIC-USD,SNX-USD,0.23493305655791297,8.0
36,NEAR-USD,DOT-USD,0.43804345005081136,21.0
37,NEAR-USD,AVAX-USD,0.09154534021844576,15.0
38,NEAR-USD,SNX-USD,0.9059516984975365,23.0
39,DOT-USD,ENJ-USD,24.034705961356977,13.0
40,DOT-USD,SNX-USD,2.0686817848035215,10.0
41,CELO-USD,1INCH-USD,1.6267263055441656,12.0
42,CELO-USD,ZRX-USD,2.194695281070865,16.0
43,ADA-USD,ENJ-USD,1.7380881512806041,5.0
44,ADA-USD,ZRX-USD,1.6055439193445868,11.0
45,ADA-USD,SNX-USD,0.14957632621805722,10.0
46,ENJ-USD,AVAX-USD,0.008688878327764138,14.0
47,ENJ-USD,SNX-USD,0.086048873445052,10.0
48,ENJ-USD,ETH-USD,0.00012174518025685185,20.0
49,ENJ-USD,ATOM-USD,0.030305283552915455,15.0
50,ZRX-USD,XLM-USD,2.779233845534291,15.0
51,ZRX-USD,EOS-USD,0.4411974332326205,4.0
52,ZRX-USD,ATOM-USD,0.03280137807471164,7.0
53,AVAX-USD,SNX-USD,9.896888540583179,17.0
54,XLM-USD,ATOM-USD,0.01179743823446083,14.0
55,EOS-USD,ATOM-USD,0.07434375854132198,8.0
